1   (27, 1) (20, 1) 
10	(25, 1) (3, 2) (29, 1) 
as	(25, 3) (28, 12) (2, 5) (29, 8) (11, 1) (21, 3) (7, 3) (6, 2) (23, 1) (1, 7) (26, 1) (10, 1) (16, 5) (3, 5) (8, 1) (12, 2) (22, 1) (17, 1) (19, 2) (30, 5) (20, 3) 
asan	(22, 1) 
ascent	(19, 1) 
asia	(25, 1) 
aside	(14, 1) 
asimo	(14, 1) 
assembled	(6, 2) 
assemblies	(30, 1) 
assembly	(25, 1) 
asset	(29, 1) 
assets	(28, 1) 
associated	(27, 1) 
at	(27, 1) (29, 1) (25, 2) (26, 2) (30, 1) (7, 1) (21, 1) (6, 3) (16, 1) (20, 2) 
atlantic	(10, 1) 
attempt	(16, 1) 
attracted	(19, 1) 
atvs	(5, 1) 
auburn	(29, 1) (30, 1) 
auction	(7, 1) 
audi	(11, 8) (8, 1) (6, 1) 
audinferruccio	(8, 1) 
audis	(11, 2) 
audiwerke	(11, 1) 
august	(11, 2) (3, 1) 
autech	(2, 1) 
auto	(29, 3) (11, 4) 
autocar	(26, 1) 
automaker	(30, 1) (25, 1) (2, 1) (5, 1) (14, 1) (1, 1) (29, 1) (19, 1) 
automakers	(3, 2) (30, 1) (1, 2) 
automobil	(18, 1) 
automobile	(18, 1) (14, 4) (26, 3) (11, 1) (16, 1) (3, 3) (19, 1) (23, 2) (2, 2) (29, 3) (21, 2) (8, 1) (28, 1) (15, 1) (22, 1) (17, 1) 
automobiles	(26, 2) (7, 1) (14, 1) (5, 2) (16, 1) (30, 3) (10, 3) (29, 2) 
automobili	(10, 1) (8, 2) 
automotive	(26, 2) (23, 1) (17, 1) (1, 1) (11, 1) (3, 1) (22, 1) (16, 2) (29, 3) (6, 1) 
autonomous	(4, 1) 
aventador	(8, 1) 
axles	(28, 1) 
aztec	(20, 1) 
b-body	(30, 1) 
back	(30, 1) (11, 1) (2, 1) (16, 1) 
baden-wu00fcrttemberg	(18, 1) 
bailout	(30, 1) (29, 1) 
banded	(11, 1) 
bank	(4, 2) 
bankruptcy	(29, 4) (8, 1) (30, 1) (12, 1) 
based	(11, 1) (26, 1) (23, 1) (7, 1) (30, 1) (8, 1) 
batteriesnas	(3, 1) 
bavaria	(11, 1) (12, 1) 
bayerische	(12, 1) 
be	(16, 4) (14, 1) (8, 1) (30, 1) (10, 1) (28, 2) 
beauty	(10, 1) 
became	(3, 1) (19, 1) (28, 3) (14, 2) (7, 1) (6, 1) 
become	(16, 2) (29, 1) 
becomes	(11, 1) 
becoming	(29, 1) (25, 1) 
been	(6, 1) (27, 1) (3, 1) (23, 1) (26, 1) (20, 1) (8, 1) (7, 1) (14, 2) (28, 6) (22, 1) (2, 1) 
beetle	(17, 1) 
before	(29, 1) (10, 1) (30, 1) 
began	(30, 1) (29, 2) (25, 3) (11, 1) (7, 1) (14, 1) 
beginning	(6, 1) 
beginnings	(2, 1) 
behind	(2, 1) (3, 1) 
being	(3, 2) (2, 1) (30, 1) (29, 1) (16, 1) (10, 1) 
belgium	(25, 1) 
below	(18, 1) 
benefited	(3, 1) 
bentayga	(6, 2) 
bentley	(6, 13) 
bering	(20, 1) 
best	(28, 1) 
best-selling	(3, 1) (16, 1) (11, 1) 
between	(28, 1) (30, 1) (2, 1) (29, 1) (20, 1) 
big	(29, 1) 
biggest	(5, 1) (17, 1) (20, 1) 
billion	(14, 1) (29, 3) (21, 2) (2, 1) 
billionnover	(29, 1) 
billionthroughout	(7, 1) 
billionu2014slightly	(28, 1) 
bite	(20, 1) 
bites	(20, 1) 
black	(20, 1) 
blow	(20, 1) (10, 1) 
bmw	(11, 1) (12, 5) (26, 1) 
bodies	(6, 1) 
body	(20, 2) (28, 1) 
bologna	(27, 1) 
bolognese	(8, 1) 
booming	(3, 1) 
borrowed	(29, 1) 
both	(23, 1) (3, 1) (19, 1) (4, 1) 
bought	(10, 1) 
boxer	(19, 2) 
brainnthe	(20, 1) 
brand	(4, 1) (6, 1) (11, 1) (25, 3) (30, 4) (29, 1) (28, 3) (7, 2) (14, 1) (10, 1) (8, 1) (17, 2) (2, 2) (26, 1) (12, 1) (16, 5) 
brandcadillac	(26, 1) 
branded	(28, 1) (29, 1) 
brands	(29, 2) (28, 1) (11, 2) (26, 2) (25, 1) (8, 1) (3, 1) (12, 1) (2, 2) 
bratislava	(6, 1) 
brazil	(12, 1) 
breeding	(20, 1) 
bridge	(20, 1) 
british	(29, 1) (6, 1) (17, 1) 
broadleaf	(20, 1) 
brothers	(12, 1) (30, 3) (29, 1) 
brought	(29, 1) (8, 1) 
brussels	(25, 1) 
brz	(19, 1) 
bugatti	(10, 5) 
buick	(26, 1) (29, 1) 
build	(16, 1) 
building	(30, 1) 
builds	(26, 1) 
built	(7, 1) (30, 1) (16, 1) 
buses	(23, 1) 
business	(4, 1) (10, 1) (30, 1) (29, 2) 
businesses	(14, 1) 
but	(26, 1) (28, 1) (20, 1) (30, 1) (19, 1) (8, 1) (6, 1) 
buyers	(30, 1) (19, 1) 
by	(19, 2) (28, 2) (4, 1) (12, 3) (17, 3) (25, 1) (5, 1) (26, 2) (23, 2) (11, 2) (14, 2) (18, 2) (1, 2) (30, 6) (8, 4) (29, 7) (16, 6) (20, 3) (7, 3) (6, 2) (3, 4) (27, 1) (21, 1) (10, 1) (15, 1) 
c	(16, 1) 
cadillac	(26, 7) 
called	(28, 1) (2, 1) (7, 1) 
camaro	(16, 2) 
can-do	(28, 1) 
canada	(26, 1) 
canadian	(29, 1) 
canadian-built	(25, 1) 
cap	(27, 1) 
capabilities	(19, 1) 
capital	(29, 1) (30, 1) 
capitalisation	(7, 1) (23, 1) 
car	(7, 4) (19, 1) (16, 4) (17, 1) (11, 1) (29, 1) (25, 1) (2, 2) (22, 1) (26, 3) (3, 1) 
car-makers	(2, 1) 
carapaces	(20, 1) 
caravan	(30, 1) 
carnthe	(10, 1) 
cars	(10, 3) (19, 3) (7, 4) (23, 3) (27, 1) (12, 2) (18, 1) (30, 4) (2, 1) (25, 1) (8, 1) (3, 1) (6, 1) 
cat	(20, 2) 
cause	(30, 1) 
caused	(30, 1) (27, 1) 
cayenne	(18, 1) 
cc	(19, 1) 
cell	(3, 1) 
centered	(25, 1) 
centers	(25, 1) 
centersnsince	(25, 1) 
centnlamborghini	(8, 1) 
cento	(8, 1) 
central	(28, 1) (20, 2) 
century	(23, 1) (11, 1) (2, 1) 
ceo	(29, 1) 
cerberus	(29, 1) (30, 1) 
chaebol	(22, 1) 
chainnhyundai	(22, 1) 
champion	(7, 1) 
championship	(7, 1) 
championships	(7, 1) 
changed	(8, 1) (1, 1) 
changes	(30, 1) 
changing	(29, 1) 
chapter	(29, 1) (30, 1) 
charger	(30, 1) 
cherokeeu2014reach	(28, 1) 
chev	(16, 1) 
chevrolet	(16, 20) 
chevroletnin	(16, 1) 
chevy	(16, 2) 
china	(12, 1) (17, 1) (6, 1) (14, 1) (2, 1) (26, 1) (3, 1) 
chip	(22, 1) 
christian	(28, 1) 
chrysler	(28, 2) (7, 1) (29, 25) (8, 1) (30, 7) 
chrysler-mitsubishi	(29, 1) 
chryslers	(30, 2) 
chu016bbu	(25, 2) 
cirrhosis	(30, 1) 
cis	(16, 1) 
citrou00ebn	(29, 1) 
city	(10, 1) (3, 1) 
civil	(22, 2) 
civilian	(28, 3) 
civilizations	(20, 1) 
cj	(28, 1) 
cj-5	(28, 1) 
clashless	(26, 1) 
clean	(24, 1) 
closed	(30, 1) 
club	(26, 1) 
cluster	(19, 1) 
co	(30, 1) (1, 2) (2, 1) (14, 1) 
coat	(20, 2) (26, 1) 
cocky	(28, 1) 
code-named	(25, 1) 
coinciding	(30, 1) 
colloquially	(16, 1) 
colored	(20, 1) 
combination	(29, 1) (7, 1) 
combined	(17, 1) 
combustion	(14, 2) (5, 1) 
commercial	(16, 1) 
common	(4, 1) (28, 1) 
commonly	(16, 1) (24, 1) (7, 1) (3, 1) (2, 1) (21, 1) (15, 1) 
compact	(30, 2) 
companies	(29, 1) (19, 1) (4, 3) (11, 1) (23, 1) (3, 2) 
companiesnn	(4, 1) 
company	(4, 4) (29, 10) (16, 4) (14, 1) (6, 3) (28, 1) (22, 3) (10, 2) (30, 2) (24, 1) (7, 4) (18, 1) (12, 3) (3, 8) (23, 2) (15, 1) (27, 1) (26, 2) (11, 3) (1, 1) (8, 3) (21, 2) (2, 2) 
companynhyundai	(22, 9) 
companynthe	(11, 1) 
companys	(6, 1) (19, 1) (27, 1) 
companyu2014splitting	(6, 1) 
compete	(16, 1) (8, 1) 
competition	(29, 1) 
complete	(30, 1) (26, 1) 
complex	(11, 1) 
component	(26, 1) (3, 1) 
comprise	(20, 1) 
conceptually	(28, 1) 
conference	(4, 1) 
conflict	(20, 1) 
conglomerate	(6, 1) (14, 1) (22, 2) (19, 1) 
conglomeratenhyundai	(22, 3) 
conglomerates	(3, 1) 
conservation	(20, 2) 
considered	(28, 1) 
consistent	(28, 1) 
consists	(28, 1) 
consolidated	(6, 1) 
constituents	(4, 1) 
construction	(22, 4) (23, 1) 
constructors	(7, 1) 
consultency	(7, 1) 
contentious	(29, 1) 
continental	(6, 3) 
continue	(4, 1) (16, 1) 
continued	(7, 1) 
continues	(28, 1) (8, 1) 
contributed	(11, 1) 
control	(8, 2) (29, 1) (4, 1) 
controlling	(16, 1) (2, 1) (18, 1) 
convertible	(25, 1) 
cooperate	(23, 1) 
cooperation	(4, 1) 
core	(23, 1) (19, 1) (14, 1) 
core30	(3, 1) 
cork	(1, 1) 
cork-making	(1, 1) 
corolla	(3, 1) 
coronet	(30, 1) 
corporate	(30, 1) (25, 2) 
corporation	(25, 1) (30, 1) (4, 1) (8, 2) (28, 2) (3, 4) (1, 1) (29, 3) (19, 1) (5, 1) (21, 3) (23, 2) (22, 1) 
corvette	(16, 1) 
cost	(29, 1) 
costlier	(3, 1) 
count	(7, 1) 
countries	(25, 1) (1, 1) (5, 2) 
country	(25, 2) 
countrysuzukis	(5, 1) 
coupu00e9	(25, 1) 
covered	(20, 1) 
cramped	(28, 1) 
create	(11, 1) (16, 1) (19, 1) 
created	(25, 1) (29, 2) 
creating	(11, 1) 
creation	(28, 1) 
credited	(30, 1) (29, 1) 
creditors	(29, 1) 
crest	(26, 1) 
crewe	(6, 2) 
cricklewood	(6, 1) 
crisis	(8, 3) (29, 1) 
criticized	(3, 1) 
crossing	(15, 2) 
crossover	(25, 1) 
crossovers	(28, 1) 
culminated	(25, 1) 
culture	(7, 1) 
current	(7, 2) (28, 2) (6, 1) (18, 1) 
currently	(7, 1) (8, 1) 
czech	(3, 1) 
daewoo	(16, 4) 
daihatsu	(3, 1) 
daimler	(29, 1) 
daimler-benz	(29, 2) (11, 1) (30, 1) 
daimlerchrysler	(29, 2) 
dart	(30, 1) 
dating	(11, 1) (7, 1) 
datsun	(2, 1) 
de	(26, 1) 
dealerships	(28, 1) (25, 1) 
deals	(7, 1) 
death	(10, 2) (30, 1) 
debts	(29, 1) 
debut	(25, 1) 
debuted	(25, 2) 
decade	(8, 1) 
december	(29, 1) (3, 1) (30, 1) (27, 1) 
declined	(20, 1) 
declines	(29, 1) 
dedicated	(14, 1) 
defaulting	(29, 1) 
defense	(22, 1) 
defined	(20, 1) 
deliver	(20, 1) 
delivers	(17, 1) 
demonstrating	(26, 1) 
densitytesla	(24, 1) 
department	(22, 3) (3, 1) 
derivatives	(30, 1) 
derived	(28, 1) (17, 1) (1, 1) 
descended	(4, 1) 
design	(1, 1) (10, 1) (25, 1) 
designed	(28, 1) 
designer	(10, 1) (6, 1) 
designs	(26, 1) 
designschrysler	(29, 1) 
designssubaru	(19, 1) 
desire	(19, 1) 
desoto	(29, 1) 
determination	(28, 1) 
detroit	(26, 1) (29, 1) 
detroit-based	(30, 1) 
develop	(30, 1) (25, 1) 
developed	(26, 1) (3, 1) 
development	(3, 3) (14, 1) (22, 1) 
devoted	(19, 1) 
dewar	(26, 1) 
di	(8, 1) 
diamond-star	(29, 1) 
did	(25, 1) 
died	(30, 2) 
dillon	(30, 1) 
directly	(20, 1) 
disbanded	(4, 1) 
discontinued	(16, 1) 
distinctively	(20, 1) 
distributed	(26, 1) 
distributes	(29, 1) 
distribution	(16, 1) (23, 1) 
distributors	(5, 1) 
diversification	(29, 1) 
diversified	(4, 1) 
divested	(29, 1) 
divestednhyundai	(22, 1) 
division	(22, 1) (29, 4) (25, 4) (30, 1) (16, 2) (26, 2) (19, 1) 
divisionnnew	(8, 1) 
divisions	(25, 2) 
dkw	(11, 1) 
dockyard	(22, 1) 
dodge	(29, 3) (30, 20) 
doing	(29, 1) 
domestic	(5, 2) (25, 1) 
dongfeng	(14, 1) 
doug	(28, 1) 
downturn	(8, 1) 
dr	(18, 1) 
dresden	(6, 1) 
drive	(8, 1) (28, 1) (19, 3) (23, 1) 
drive-train	(19, 1) 
drivers	(7, 1) 
drop	(8, 1) 
due	(27, 1) (16, 1) 
durant	(16, 2) 
durants	(16, 1) 
durch	(11, 1) 
during	(28, 2) (20, 1) (4, 1) (8, 2) (26, 1) (30, 1) 
dutch-domiciled	(30, 1) 
each	(14, 1) (11, 1) 
eagle	(29, 1) 
earlier	(30, 1) 
early	(30, 1) (29, 1) (11, 1) (7, 1) (20, 1) 
ears	(20, 1) 
economic	(8, 1) 
economy	(3, 2) 
ecosystems	(20, 1) 
eighth	(14, 1) 
electric	(2, 2) (24, 1) (3, 2) (26, 1) (4, 1) 
electrical	(26, 1) (24, 1) 
electronics	(22, 1) 
eleventh	(5, 1) 
elgin	(30, 1) 
embargo	(30, 1) 
emblem	(27, 1) 
emerged	(29, 1) 
employ	(20, 1) 
employees	(5, 1) 
end	(14, 1) 
ended	(8, 1) 
endured	(30, 1) 
energy	(24, 1) 
engine	(16, 2) (19, 3) (8, 1) (1, 1) (3, 1) 
engineer	(24, 1) (11, 1) 
engineering	(6, 1) (25, 1) (29, 1) (22, 3) 
engines	(5, 2) (14, 4) (12, 1) (26, 1) (8, 1) 
england	(6, 1) 
english	(3, 1) 
enjoyed	(28, 1) 
enough	(16, 1) 
entered	(20, 1) 
enterprises	(11, 1) 
enthusiast	(7, 1) 
entity	(7, 1) (8, 1) 
entrepreneur	(10, 1) 
environmental	(29, 1) 
enzo	(7, 1) 
ep	(22, 1) 
equipment	(23, 1) (14, 2) (19, 1) 
equipmentnhyundai	(22, 1) 
equivalent	(25, 1) 
era	(11, 1) 
especially	(7, 1) (12, 1) 
established	(27, 1) (29, 1) (26, 1) 
establishment	(14, 1) 
estate	(22, 1) 
estimated	(28, 1) 
ettore	(10, 3) 
eurasia	(20, 1) 
europe	(30, 1) (16, 3) (29, 2) (25, 1) 
european	(26, 1) (16, 1) 
ev	(2, 1) 
events	(7, 1) 
eventual	(6, 1) 
eventually	(10, 1) 
ever	(7, 1) (27, 1) (28, 1) 
every	(16, 1) 
example	(16, 1) (30, 1) 
exception	(16, 1) (19, 1) 
exchange	(3, 4) (23, 1) 
executive	(4, 1) 
exist	(25, 1) 
existed	(4, 1) 
existence	(30, 1) 
expanded	(29, 1) (23, 1) 
expanding	(29, 1) 
expansion	(29, 1) (3, 1) 
expensive	(7, 1) 
exporter	(14, 1) 
exporting	(14, 1) 
extend	(6, 1) 
extends	(20, 1) 
extraordinary	(28, 1) 
f	(18, 1) (25, 2) 
f1	(25, 1) (7, 1) 
f103	(11, 1) 
facilities	(11, 1) (5, 1) 
facing	(29, 1) 
factory	(6, 2) (22, 1) (10, 1) (1, 1) (30, 2) 
fallen	(3, 1) 
familiar	(29, 1) 
families	(30, 1) 
family	(12, 1) (16, 1) 
famous	(10, 1) 
famously	(4, 1) 
fans	(7, 1) 
far	(3, 1) 
fargo	(29, 1) 
fastest	(7, 1) 
fatal	(20, 1) 
father	(3, 1) 
faw	(3, 1) 
fca	(29, 4) (30, 2) (28, 1) 
featured	(20, 1) 
features	(20, 1) 
fellow	(26, 1) 
ferrari	(7, 9) (8, 1) (27, 1) 
ferraris	(7, 1) 
ferruccio	(8, 2) 
few	(29, 1) (28, 1) 
fhi	(19, 1) 
fiat	(30, 2) (29, 9) (7, 2) 
fiat-chrysler	(29, 1) 
fiat-chryslers	(28, 1) 
fiatnin	(30, 1) 
fiats	(7, 1) 
field	(26, 1) 
fielded	(7, 1) 
fifteen	(7, 1) 
filing	(29, 1) 
finance	(7, 1) 
financial	(7, 1) (8, 2) (23, 1) 
financially	(10, 1) 
finished	(29, 1) 
finishes	(7, 1) 
fire	(22, 1) 
firms	(26, 1) (8, 1) 
first	(8, 1) (7, 2) (28, 2) (25, 2) (3, 3) (23, 1) (14, 2) (26, 2) (27, 1) 
five	(29, 1) 
flaghip	(8, 1) 
flagship	(17, 1) 
florio	(7, 1) 
flu	(30, 2) 
flux	(24, 1) 
flying	(6, 1) 
focusing	(3, 1) 
followed	(6, 1) (25, 1) 
following	(25, 1) (22, 1) (4, 1) (12, 1) 
fomex	(22, 1) 
for	(6, 3) (17, 1) (28, 4) (29, 3) (3, 2) (30, 2) (19, 3) (10, 2) (20, 2) (7, 2) (8, 3) (1, 2) (26, 4) (16, 2) 
forced	(6, 1) 
forces	(28, 1) 
ford	(16, 1) (30, 1) (29, 1) (23, 1) (15, 1) (2, 1) (1, 1) 
fordnford	(15, 1) 
fords	(16, 1) 
forefront	(26, 1) 
forest	(20, 1) 
forested	(20, 1) 
forester	(19, 1) 
form	(11, 1) (29, 1) 
formally	(4, 1) (16, 1) 
formed	(29, 3) 
former	(22, 4) (4, 1) 
formerly	(29, 1) (19, 2) (24, 1) (16, 1) (2, 1) (21, 1) 
formula	(7, 2) 
found	(30, 1) 
foundation	(11, 1) (26, 1) 
founded	(26, 1) (7, 1) (12, 1) (15, 1) (17, 1) (6, 1) (29, 1) (3, 2) (11, 1) (1, 1) (23, 1) (10, 1) (8, 2) 
founder	(11, 1) (1, 1) (16, 1) 
founding	(29, 1) (30, 1) 
four	(4, 1) (3, 1) (11, 2) 
four-wheel	(28, 1) 
